*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .7114    
  -8.000    ,    .2007    
  -6.000    ,    .1319    
  -4.000    ,    .8179E-01
  -2.000    ,    .4749E-01
    .000    ,    .3612E-01
   2.000    ,    .4749E-01
   4.000    ,    .8179E-01
   8.000    ,    .2007    
   10.00    ,    .2938    
   12.00    ,    .4088    
   14.00    ,    .5482    
   16.00    ,    .7114    
   17.00    ,    .8003    
   23.00    ,    1.459    
   30.00    ,    2.502    
   60.00    ,    12.30    
   90.00    ,    .4262E+09
   120.0    ,   -11.92    
   175.0    ,   -.1614    

Alpha, CL
  -16.00    ,   -3.002    
  -8.000    ,   -1.500    
  -6.000    ,   -1.167    
  -4.000    ,   -.8364    
  -2.000    ,   -.4168    
    .000    ,     .000    
   2.000    ,    .4168    
   4.000    ,    .8364    
   8.000    ,    1.500    
   10.00    ,    1.872    
   12.00    ,    2.247    
   14.00    ,    2.628    
   16.00    ,    3.002    
   17.00    ,    3.180    
   23.00    ,    4.231    
   30.00    ,    5.359    
   60.00    ,    8.629    
   90.00    ,    9.227    
   120.0    ,    7.874    
   175.0    ,    1.184    

Alpha, Cm
  -16.00    ,    2.453    
  -8.000    ,    2.453    
  -6.000    ,    2.453    
  -4.000    ,    2.453    
  -2.000    ,    2.453    
    .000    ,    2.453    
   2.000    ,    2.453    
   4.000    ,    2.453    
   8.000    ,    2.453    
   10.00    ,    2.453    
   12.00    ,    2.453    
   14.00    ,    2.453    
   16.00    ,    2.453    
   17.00    ,    2.453    
   23.00    ,    2.453    
   30.00    ,    2.453    
   60.00    ,    2.453    
   90.00    ,    2.453    
   120.0    ,    2.453    
   175.0    ,    2.453    

Alpha, Cyb
  -16.00    ,   -.8537E-02
  -8.000    ,   -.8537E-02
  -6.000    ,   -.8537E-02
  -4.000    ,   -.8537E-02
  -2.000    ,   -.8537E-02
    .000    ,   -.8537E-02
   2.000    ,   -.8537E-02
   4.000    ,   -.8537E-02
   8.000    ,   -.8537E-02
   10.00    ,   -.8537E-02
   12.00    ,   -.8537E-02
   14.00    ,   -.8537E-02
   16.00    ,   -.8537E-02
