Alpha_deg, CL_wbh, CLq-per_deg, CLadot-per_deg, CD_wbh, CYbeta-per_deg, CYp-per_deg, Clbeta-per_deg, Clp-per_deg, Clr-per_deg, CM_wbh, CMq-per_deg, CMadot-per_deg, CNbeta-per_deg, CNp-per_deg, CNr-per_deg
     -2.0000,       -.4522,        .0000,        .0000,        .0613,        .0000,        .0000,        .0168,       -.0446,        .0000,        .2119,        .0000,        .0000,       -.0133,        .0000,        .0000
       .0000,        .0000,        .0000,        .0000,        .0487,        .0000,        .0000,        .0013,       -.0444,        .0000,       -.0315,        .0000,        .0000,       -.0133,        .0000,        .0000
      2.0000,        .4522,        .0000,        .0000,        .0613,        .0000,        .0000,       -.0142,       -.0446,        .0000,       -.2749,        .0000,        .0000,       -.0133,        .0000,        .0000
      4.0000,        .9077,        .0000,        .0000,        .0994,        .0000,        .0000,       -.0299,       -.0414,        .0000,       -.2749,        .0000,        .0000,       -.0133,        .0000,        .0000
      8.0000,       1.6157,        .0000,        .0000,        .2289,        .0000,        .0000,       -.0541,       -.0378,        .0000,       -.2749,        .0000,        .0000,       -.0133,        .0000,        .0000
     10.0000,       2.0116,        .0000,        .0000,        .3290,        .0000,        .0000,       -.0677,       -.0399,        .0000,       -.2749,        .0000,        .0000,       -.0133,        .0000,        .0000
     12.0000,       2.4099,        .0000,        .0000,        .4521,        .0000,        .0000,       -.0814,       -.0414,        .0000,       -.2749,        .0000,        .0000,       -.0133,        .0000,        .0000
     14.0000,       2.8185,        .0000,        .0000,        .6004,        .0000,        .0000,       -.0954,       -.0431,        .0000,       -.2749,        .0000,        .0000,       -.0133,        .0000,        .0000
     16.0000,       3.2187,        .0000,        .0000,        .7735,        .0000,        .0000,       -.1091,       -.0433,        .0000,       -.2749,        .0000,        .0000,       -.0133,        .0000,        .0000
     17.0000,       3.4094,        .0000,        .0000,        .8675,        .0000,        .0000,       -.1157,       -.0434,        .0000,       -.2749,        .0000,        .0000,       -.0133,        .0000,        .0000
     23.0000,       4.5400,        .0000,        .0000,       1.5602,        .0000,        .0000,       -.1544,       -.0465,        .0000,       -.2749,        .0000,        .0000,       -.0133,        .0000,        .0000
     30.0000,       5.7656,        .0000,        .0000,       2.6496,        .0000,        .0000,       -.1965,       -.0506,        .0000,       -.2749,        .0000,        .0000,       -.0133,        .0000,        .0000
     60.0000,       9.4835,        .0000,        .0000,      13.0545,        .0000,        .0000,       -.3240,       -.0724,        .0000,       -.2749,        .0000,        .0000,       -.0133,        .0000,        .0000

DeltaElev, dCL_Elev, dCM_Elev
       .0000,        .0000,        .0000
       .0000,        .0000,        .0000
       .0000,        .0000,        .0000
       .0000,        .0000,        .0000
       .0000,        .0000,        .0000

Plain flaps
DeltaFlap, dCL_Flap, dCM_Flap
     -4.0000,      -1.#QNB,     --1.#IND
       .0000,        .0000,        .0000
     15.0000,      -1.#QNB,     --1.#IND
     30.0000,      -1.#QNB,     --1.#IND

Cd_Elev
Alpha, DeltaElev
            ,        .0000,        .0000,        .0000,        .0000,        .0000
     -2.0000,     --1.#IND,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
       .0000,     --1.#IND,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
      2.0000,     --1.#IND,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
      4.0000,     --1.#IND,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
      8.0000,     --1.#IND,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
     10.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
     12.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
     14.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
     16.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
     17.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
     23.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
     30.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
     60.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB

dCD_Flap for Plain flaps
Alpha, DeltaFlap
            ,      -4.0000,        .0000,      15.0000,      30.0000
                -2.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                  .0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                 2.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                 4.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                 8.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                10.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                12.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                14.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                16.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                17.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                23.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                30.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,
                60.0000,--1.#IND,   .0000,--1.#IND,--1.#IND,

CL_Power
Alpha, Tc
            ,        .0000,        .2500,        .5000,        .7500,       1.0000
     -2.0000,       -.0031,       -.0118,       -.0206,       -.0293,       -.0380
       .0000,        .0034,        .0034,        .0034,        .0034,        .0034
      2.0000,        .0099,        .0187,        .0274,        .0361,        .0448
      4.0000,        .0164,        .0339,        .0513,        .0688,        .0862
      8.0000,        .0292,        .0640,        .0988,        .1336,        .1684
     10.0000,        .0355,        .0789,        .1223,        .1657,        .2092
     12.0000,        .0417,        .0936,        .1456,        .1976,        .2496
     14.0000,        .0477,        .1082,        .1687,        .2291,        .2896
     16.0000,        .0536,        .1225,        .1914,        .2603,        .3292
     17.0000,        .0564,        .1295,        .2026,        .2757,        .3488
     23.0000,        .0726,        .1703,        .2680,        .3657,        .4634
     30.0000,        .0889,        .2139,        .3389,        .4639,        .5889
     60.0000,        .1140,        .3305,        .5470,        .7635,        .9800

dCm_Power
Alpha, Tc
            ,        .0000,        .2500,        .5000,        .7500,       1.0000
     -2.0000,       -.0059,       -.0059,       -.0059,       -.0059,       -.0059
       .0000,        .0064,        .0064,        .0064,        .0064,        .0064
      2.0000,        .0187,        .0187,        .0187,        .0187,        .0187
      4.0000,        .0310,        .0310,        .0310,        .0310,        .0310
      8.0000,        .0551,        .0551,        .0551,        .0551,        .0551
     10.0000,        .0669,        .0669,        .0669,        .0669,        .0669
     12.0000,        .0786,        .0786,        .0786,        .0786,        .0786
     14.0000,        .0899,        .0899,        .0899,        .0899,        .0899
     16.0000,        .1010,        .1010,        .1010,        .1010,        .1010
     17.0000,        .1064,        .1064,        .1064,        .1064,        .1064
     23.0000,        .1370,        .1370,        .1370,        .1370,        .1370
     30.0000,        .1676,        .1676,        .1676,        .1676,        .1676
     60.0000,        .2149,        .2149,        .2149,        .2149,        .2149

Plain flap aileron
DeltaAil, dCl_Ail
    -30.0000,       -.0428
    -15.0000,       -.0235
       .0000,        .0000
     15.0000,        .0235
     30.0000,        .0428

dCN_Ail for Plain flap aileron
Alpha, DeltaAil
            ,     -30.0000,     -15.0000,        .0000,      15.0000,      30.0000
     -2.0000,     --1.#IND,     --1.#IND,     --1.#IND,     --1.#IND,     --1.#IND
       .0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
      2.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
      4.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
      8.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
     10.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
     12.0000,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB,      -1.#QNB
