Alpha,Clp
-46.3265,-0.154975
-44.5185,-0.159673
-37.6479,-0.177522
-30.0620,-0.200929
-23.5669,-0.224275
-18.8779,-0.242004
-14.5564,-0.261552
-12.7464,-0.265330
-11.1122,-0.266340
-9.65386,-0.264581
-8.92271,-0.262783
-4.34408,-0.247404
-0.878044,-0.242078
2.01682,-0.248674
4.36034,-0.257998
6.70386,-0.267323
9.24108,-0.271141
11.7922,-0.268523
13.4363,-0.264936
18.4241,-0.228430
23.4001,-0.197442
29.4707,-0.164674
36.8100,-0.133816
42.6692,-0.114829
46.6905,-0.104936
49.0578,-0.103228
51.4113,-0.107955
53.0276,-0.117240
53.7191,-0.133829
54.5924,-0.150428
57.2618,-0.177241
59.2259,-0.193901
61.5654,-0.205064
64.9958,-0.216288
