Alpha, Cnbeta
-98.1030,0.137652
-90.4097,0.137589
-85.4435,0.136279
-78.5389,0.134011
-70.5191,0.130733
-65.5356,0.128345
-56.8976,0.120791
-48.7737,0.111047
-42.5537,0.100107
-37.3795,0.0858651
-33.9213,0.0758320
-30.5759,0.0728034
-26.2020,0.0741534
-20.7823,0.0788043
-15.0449,0.0807782
-8.18359,0.0812038
-2.12832,0.0805007
3.93562,0.0792588
8.67933,0.0746989
12.1115,0.0662822
15.0381,0.0551374
18.2478,0.0434708
21.7667,0.0296660
24.4969,0.0136549
28.7380,-0.0108920
32.2166,-0.0392617
34.8804,-0.0682213
36.2730,-0.0864728
37.2815,-0.114996
37.8421,-0.132759
40.2371,-0.145016
43.0943,-0.151850
45.6945,-0.159779
48.2686,-0.166092
52.2409,-0.173935
56.1613,-0.178546
59.7032,-0.176709
62.0692,-0.170090
71.5155,-0.0912984
73.0928,-0.0868857
74.7482,-0.0873224
77.0045,-0.0909579
79.4833,-0.0913435
112.917,-0.0520548
