Alpha,Cmq
-61.9610,-0.936245
-57.7010,-0.838961
-55.7957,-0.787515
-54.1160,-0.719059
-51.7634,-0.639130
-49.7472,-0.564938
-47.8408,-0.530537
-46.0452,-0.518882
-44.1367,-0.518572
-42.1148,-0.535289
-40.4286,-0.569107
-37.7295,-0.642534
-35.9299,-0.693379
-32.8926,-0.789478
-29.4050,-0.902550
-26.4792,-1.01003
-24.3414,-1.08355
-21.6430,-1.14561
-19.2825,-1.19068
-16.3610,-1.22998
-12.9919,-1.24648
-10.9711,-1.24615
-8.83762,-1.25149
-6.47927,-1.26247
-4.23390,-1.26211
-1.87843,-1.22763
0.366579,-1.22159
5.53092,-1.22075
7.88675,-1.19196
9.34372,-1.15195
10.6877,-1.10059
12.2577,-1.07193
13.9406,-1.05461
15.6257,-1.07138
17.0874,-1.10523
18.3255,-1.15617
19.4515,-1.20712
20.6907,-1.27511
22.1528,-1.31464
23.8386,-1.34278
25.5230,-1.34819
27.4308,-1.33651
29.4487,-1.29073
30.9050,-1.23936
34.3752,-1.07970
35.9416,-0.994216
37.6195,-0.897352
45.2181,-0.333609
46.5631,-0.299299
47.9104,-0.299080
49.3724,-0.338616
50.9481,-0.400861
55.6785,-0.638734
59.5053,-0.791524
62.0925,-0.870651
64.5639,-0.892977
67.9334,-0.915158
71.5267,-0.925938
75.6806,-0.925264
79.3855,-0.924663
