Alpha,Clp
-46.3572,-0.154623
-44.4592,-0.159781
-37.6517,-0.164750
-30.0431,-0.177574
-23.5490,-0.201362
-18.9627,-0.224585
-14.5642,-0.250555
-12.7661,-0.259842
-11.1329,-0.261310
-9.76944,-0.261386
-8.95334,-0.262349
-4.46660,-0.247436
-0.909666,-0.242119
1.98619,-0.248251
4.32971,-0.257569
6.67323,-0.266886
9.21045,-0.270701
11.7616,-0.268086
13.4057,-0.264501
18.4371,-0.207811
23.2561,-0.165352
29.5115,-0.131241
36.8310,-0.109592
42.6673,-0.101185
46.6688,-0.100487
49.0272,-0.102914
51.3806,-0.107638
52.9960,-0.117375
53.5986,-0.133028
54.4728,-0.149156
57.2312,-0.176872
59.1952,-0.193519
61.5348,-0.204674
64.9651,-0.215889
