Alpha, Cnp
-49.986, 0.000
-46.540, 0.022
-45.535, 0.034
-44.636, 0.063
-41.209, 0.177
-40.360, 0.191
-39.208, 0.199
-37.414, 0.206
-35.146, 0.210
-32.578, 0.207
-29.866, 0.199
-27.004, 0.188
-24.303, 0.177
-22.879, 0.169
-18.457, 0.142
-14.198, 0.114
-9.313, 0.081
-6.012, 0.056
-2.706, 0.033
0.000, 0.000
6.574, -0.036
10.352, -0.063
13.822, -0.085
18.403, -0.113
23.302, -0.142
27.105, -0.161
30.911, -0.179
33.618, -0.189
36.027, -0.191
38.457, -0.186
39.609, -0.179
40.455, -0.166
40.997, -0.148
42.055, -0.119
42.766, -0.099
43.485, -0.075
44.543, -0.047
45.248, -0.028
46.744, -0.013
48.710, -0.003
50.497, -0.002
52.271, -0.003
53.868, -0.001
55.294, -0.008
59.864, -0.040
